event_id,contract_address,event_type,block_timestamp,seconds_since_last_event
evt_00808,0xAlpha,Flux,2025-07-01 15:22:00,90.0
evt_00815,0xAlpha,Withdr-O,2025-07-01 15:23:45,105.0
evt_00833,0xAlpha,Glint,2025-07-01 15:28:15,270.0
evt_00866,0xAlpha,Withdr-O,2025-07-01 15:36:30,495.0
evt_00886,0xAlpha,Flux,2025-07-01 15:41:30,300.0
evt_00911,0xAlpha,Glint,2025-07-01 15:47:45,375.0
evt_00968,0xAlpha,Zync,2025-07-01 16:02:00,855.0
evt_00984,0xAlpha,Minty,2025-07-01 16:06:00,240.0
evt_00985,0xAlpha,Withdr-O,2025-07-01 16:06:15,15.0
evt_01023,0xAlpha,Zync,2025-07-01 16:15:45,570.0
evt_01049,0xAlpha,Flux,2025-07-01 16:22:15,390.0
evt_01051,0xAlpha,Zync,2025-07-01 16:22:45,30.0
evt_01052,0xAlpha,Minty,2025-07-01 16:23:00,15.0
evt_01056,0xAlpha,Flux,2025-07-01 16:24:00,60.0
evt_01075,0xAlpha,Flux,2025-07-01 16:28:45,285.0
evt_01080,0xAlpha,Glint,2025-07-01 16:30:00,75.0
evt_01087,0xAlpha,Flux,2025-07-01 16:31:45,105.0
evt_01092,0xAlpha,Withdr-O,2025-07-01 16:33:00,75.0
evt_01122,0xAlpha,Flux,2025-07-01 16:40:30,450.0
evt_01147,0xAlpha,Withdr-O,2025-07-01 16:46:45,375.0
evt_01158,0xAlpha,Depos-X,2025-07-01 16:49:30,165.0
evt_01159,0xAlpha,Flux,2025-07-01 16:49:45,15.0
evt_01185,0xAlpha,Zync,2025-07-01 16:56:15,390.0
evt_01229,0xAlpha,Minty,2025-07-01 17:07:15,660.0
evt_01235,0xAlpha,Flux,2025-07-01 17:08:45,90.0
evt_01243,0xAlpha,Flux,2025-07-01 17:10:45,120.0
evt_01250,0xAlpha,Zync,2025-07-01 17:12:30,105.0
evt_01251,0xAlpha,Glint,2025-07-01 17:12:45,15.0
evt_01254,0xAlpha,Yank,2025-07-01 17:13:30,45.0
evt_01257,0xAlpha,Yank,2025-07-01 17:14:15,45.0
evt_01272,0xAlpha,Minty,2025-07-01 17:18:00,225.0
evt_01284,0xAlpha,Depos-X,2025-07-01 17:21:00,180.0
evt_01300,0xAlpha,Glint,2025-07-01 17:25:00,240.0
evt_01328,0xAlpha,Zync,2025-07-01 17:32:00,420.0
evt_01340,0xAlpha,Zync,2025-07-01 17:35:00,180.0
evt_01341,0xAlpha,Yank,2025-07-01 17:35:15,15.0
evt_01350,0xAlpha,Minty,2025-07-01 17:37:30,135.0
evt_01366,0xAlpha,Minty,2025-07-01 17:41:30,240.0
evt_01432,0xAlpha,Glint,2025-07-01 17:58:00,990.0
evt_01433,0xAlpha,Yank,2025-07-01 17:58:15,15.0
evt_01481,0xAlpha,Glint,2025-07-01 18:10:15,720.0
evt_01490,0xAlpha,Flux,2025-07-01 18:12:30,135.0
evt_01506,0xAlpha,Yank,2025-07-01 18:16:30,240.0
evt_01518,0xAlpha,Flux,2025-07-01 18:19:30,180.0
evt_01519,0xAlpha,Glint,2025-07-01 18:19:45,15.0
evt_01543,0xAlpha,Depos-X,2025-07-01 18:25:45,360.0
evt_01586,0xAlpha,Minty,2025-07-01 18:36:30,645.0
evt_01588,0xAlpha,Flux,2025-07-01 18:37:00,30.0
evt_01608,0xAlpha,Minty,2025-07-01 18:42:00,300.0
evt_01616,0xAlpha,Yank,2025-07-01 18:44:00,120.0
evt_01631,0xAlpha,Zync,2025-07-01 18:47:45,225.0
evt_01662,0xAlpha,Yank,2025-07-01 18:55:30,465.0
evt_01672,0xAlpha,Withdr-O,2025-07-01 18:58:00,150.0
evt_01694,0xAlpha,Withdr-O,2025-07-01 19:03:30,330.0
evt_01727,0xAlpha,Yank,2025-07-01 19:11:45,495.0
evt_01747,0xAlpha,Yank,2025-07-01 19:16:45,300.0
evt_01759,0xAlpha,Glint,2025-07-01 19:19:45,180.0
evt_01770,0xAlpha,Minty,2025-07-01 19:22:30,165.0
evt_01781,0xAlpha,Withdr-O,2025-07-01 19:25:15,165.0
evt_01801,0xAlpha,Zync,2025-07-01 19:30:15,300.0
evt_01812,0xAlpha,Depos-X,2025-07-01 19:33:00,165.0
evt_01813,0xAlpha,Glint,2025-07-01 19:33:15,15.0
evt_01814,0xAlpha,Flux,2025-07-01 19:33:30,15.0
evt_01817,0xAlpha,Flux,2025-07-01 19:34:15,45.0
evt_01819,0xAlpha,Minty,2025-07-01 19:34:45,30.0
evt_01820,0xAlpha,Zync,2025-07-01 19:35:00,15.0
evt_01836,0xAlpha,Depos-X,2025-07-01 19:39:00,240.0
evt_01859,0xAlpha,Yank,2025-07-01 19:44:45,345.0
evt_01860,0xAlpha,Withdr-O,2025-07-01 19:45:00,15.0
evt_01868,0xAlpha,Minty,2025-07-01 19:47:00,120.0
evt_01870,0xAlpha,Depos-X,2025-07-01 19:47:30,30.0
evt_01884,0xAlpha,Depos-X,2025-07-01 19:51:00,210.0
evt_01899,0xAlpha,Flux,2025-07-01 19:54:45,225.0
evt_01905,0xAlpha,Glint,2025-07-01 19:56:15,90.0
evt_01934,0xAlpha,Yank,2025-07-01 20:03:30,435.0
evt_01960,0xAlpha,Glint,2025-07-01 20:10:00,390.0
evt_01976,0xAlpha,Minty,2025-07-01 20:14:00,240.0
evt_01990,0xAlpha,Glint,2025-07-01 20:17:30,210.0
evt_01992,0xAlpha,Minty,2025-07-01 20:18:00,30.0
evt_02030,0xAlpha,Glint,2025-07-01 20:27:30,570.0
evt_02040,0xAlpha,Zync,2025-07-01 20:30:00,150.0
evt_02047,0xAlpha,Glint,2025-07-01 20:31:45,105.0
evt_02051,0xAlpha,Zync,2025-07-01 20:32:45,60.0
evt_02054,0xAlpha,Yank,2025-07-01 20:33:30,45.0
evt_02056,0xAlpha,Glint,2025-07-01 20:34:00,30.0
evt_02065,0xAlpha,Yank,2025-07-01 20:36:15,135.0
evt_02067,0xAlpha,Withdr-O,2025-07-01 20:36:45,30.0
evt_02092,0xAlpha,Minty,2025-07-01 20:43:00,375.0
evt_02127,0xAlpha,Minty,2025-07-01 20:51:45,525.0
evt_02133,0xAlpha,Withdr-O,2025-07-01 20:53:15,90.0
evt_02135,0xAlpha,Depos-X,2025-07-01 20:53:45,30.0
evt_02139,0xAlpha,Withdr-O,2025-07-01 20:54:45,60.0
evt_02141,0xAlpha,Minty,2025-07-01 20:55:15,30.0
evt_02176,0xAlpha,Zync,2025-07-01 21:04:00,525.0
evt_02182,0xAlpha,Flux,2025-07-01 21:05:30,90.0
evt_02186,0xAlpha,Flux,2025-07-01 21:06:30,60.0
evt_02189,0xAlpha,Glint,2025-07-01 21:07:15,45.0
evt_02192,0xAlpha,Flux,2025-07-01 21:08:00,45.0
evt_02204,0xAlpha,Withdr-O,2025-07-01 21:11:00,180.0
evt_02210,0xAlpha,Glint,2025-07-01 21:12:30,90.0
evt_02216,0xAlpha,Minty,2025-07-01 21:14:00,90.0
evt_02226,0xAlpha,Flux,2025-07-01 21:16:30,150.0
evt_02227,0xAlpha,Depos-X,2025-07-01 21:16:45,15.0
evt_02258,0xAlpha,Withdr-O,2025-07-01 21:24:30,465.0
evt_02263,0xAlpha,Yank,2025-07-01 21:25:45,75.0
evt_02276,0xAlpha,Minty,2025-07-01 21:29:00,195.0
evt_02278,0xAlpha,Withdr-O,2025-07-01 21:29:30,30.0
evt_02279,0xAlpha,Glint,2025-07-01 21:29:45,15.0
evt_02283,0xAlpha,Depos-X,2025-07-01 21:30:45,60.0
evt_02299,0xAlpha,Depos-X,2025-07-01 21:34:45,240.0
evt_02301,0xAlpha,Zync,2025-07-01 21:35:15,30.0
evt_02379,0xAlpha,Zync,2025-07-01 21:54:45,1170.0
evt_02409,0xAlpha,Flux,2025-07-01 22:02:15,450.0
evt_02418,0xAlpha,Yank,2025-07-01 22:04:30,135.0
evt_02419,0xAlpha,Glint,2025-07-01 22:04:45,15.0
evt_02423,0xAlpha,Yank,2025-07-01 22:05:45,60.0
evt_02428,0xAlpha,Flux,2025-07-01 22:07:00,75.0
evt_02430,0xAlpha,Withdr-O,2025-07-01 22:07:30,30.0
evt_02443,0xAlpha,Minty,2025-07-01 22:10:45,195.0
evt_02450,0xAlpha,Zync,2025-07-01 22:12:30,105.0
evt_02451,0xAlpha,Depos-X,2025-07-01 22:12:45,15.0
evt_02467,0xAlpha,Flux,2025-07-01 22:16:45,240.0
evt_02506,0xAlpha,Withdr-O,2025-07-01 22:26:30,585.0
evt_02512,0xAlpha,Depos-X,2025-07-01 22:28:00,90.0
evt_02528,0xAlpha,Flux,2025-07-01 22:32:00,240.0
evt_02555,0xAlpha,Yank,2025-07-01 22:38:45,405.0
evt_02564,0xAlpha,Zync,2025-07-01 22:41:00,135.0
evt_02578,0xAlpha,Zync,2025-07-01 22:44:30,210.0
evt_02588,0xAlpha,Minty,2025-07-01 22:47:00,150.0
evt_02597,0xAlpha,Yank,2025-07-01 22:49:15,135.0
evt_02603,0xAlpha,Yank,2025-07-01 22:50:45,90.0
evt_02607,0xAlpha,Minty,2025-07-01 22:51:45,60.0
evt_02608,0xAlpha,Flux,2025-07-01 22:52:00,15.0
evt_02621,0xAlpha,Minty,2025-07-01 22:55:15,195.0
evt_02635,0xAlpha,Depos-X,2025-07-01 22:58:45,210.0
evt_02651,0xAlpha,Withdr-O,2025-07-01 23:02:45,240.0
evt_02666,0xAlpha,Glint,2025-07-01 23:06:30,225.0
evt_02703,0xAlpha,Depos-X,2025-07-01 23:15:45,555.0
evt_02731,0xAlpha,Zync,2025-07-01 23:22:45,420.0
evt_02745,0xAlpha,Glint,2025-07-01 23:26:15,210.0
evt_02752,0xAlpha,Yank,2025-07-01 23:28:00,105.0
evt_02763,0xAlpha,Yank,2025-07-01 23:30:45,165.0
evt_02783,0xAlpha,Minty,2025-07-01 23:35:45,300.0
evt_02784,0xAlpha,Minty,2025-07-01 23:36:00,15.0
evt_02788,0xAlpha,Flux,2025-07-01 23:37:00,60.0
evt_02801,0xAlpha,Glint,2025-07-01 23:40:15,195.0
evt_02805,0xAlpha,Yank,2025-07-01 23:41:15,60.0
evt_02810,0xAlpha,Minty,2025-07-01 23:42:30,75.0
evt_02850,0xAlpha,Yank,2025-07-01 23:52:30,600.0
evt_02861,0xAlpha,Glint,2025-07-01 23:55:15,165.0
evt_02863,0xAlpha,Glint,2025-07-01 23:55:45,30.0
evt_02865,0xAlpha,Zync,2025-07-01 23:56:15,30.0
evt_02874,0xAlpha,Flux,2025-07-01 23:58:30,135.0
evt_02958,0xAlpha,Withdr-O,2025-07-02 00:19:30,1260.0
evt_02963,0xAlpha,Withdr-O,2025-07-02 00:20:45,75.0
evt_03002,0xAlpha,Depos-X,2025-07-02 00:30:30,585.0
evt_03018,0xAlpha,Yank,2025-07-02 00:34:30,240.0
evt_03021,0xAlpha,Yank,2025-07-02 00:35:15,45.0
evt_03026,0xAlpha,Flux,2025-07-02 00:36:30,75.0
evt_03034,0xAlpha,Glint,2025-07-02 00:38:30,120.0
evt_03036,0xAlpha,Withdr-O,2025-07-02 00:39:00,30.0
evt_03046,0xAlpha,Depos-X,2025-07-02 00:41:30,150.0
evt_03061,0xAlpha,Yank,2025-07-02 00:45:15,225.0
evt_03068,0xAlpha,Depos-X,2025-07-02 00:47:00,105.0
evt_03069,0xAlpha,Zync,2025-07-02 00:47:15,15.0
evt_03105,0xAlpha,Withdr-O,2025-07-02 00:56:15,540.0
evt_03110,0xAlpha,Withdr-O,2025-07-02 00:57:30,75.0
evt_03144,0xAlpha,Zync,2025-07-02 01:06:00,510.0
evt_03160,0xAlpha,Withdr-O,2025-07-02 01:10:00,240.0
evt_03166,0xAlpha,Depos-X,2025-07-02 01:11:30,90.0
evt_03185,0xAlpha,Yank,2025-07-02 01:16:15,285.0
evt_03276,0xAlpha,Minty,2025-07-02 01:39:00,1365.0
evt_03281,0xAlpha,Withdr-O,2025-07-02 01:40:15,75.0
evt_03284,0xAlpha,Depos-X,2025-07-02 01:41:00,45.0
evt_03288,0xAlpha,Zync,2025-07-02 01:42:00,60.0
evt_03319,0xAlpha,Flux,2025-07-02 01:49:45,465.0
evt_03328,0xAlpha,Minty,2025-07-02 01:52:00,135.0
evt_03359,0xAlpha,Withdr-O,2025-07-02 01:59:45,465.0
evt_03404,0xAlpha,Depos-X,2025-07-02 02:11:00,675.0
evt_03428,0xAlpha,Yank,2025-07-02 02:17:00,360.0
evt_03446,0xAlpha,Glint,2025-07-02 02:21:30,270.0
evt_03451,0xAlpha,Glint,2025-07-02 02:22:45,75.0
evt_03458,0xAlpha,Zync,2025-07-02 02:24:30,105.0
evt_03464,0xAlpha,Minty,2025-07-02 02:26:00,90.0
evt_03465,0xAlpha,Zync,2025-07-02 02:26:15,15.0
evt_03470,0xAlpha,Minty,2025-07-02 02:27:30,75.0
evt_03476,0xAlpha,Glint,2025-07-02 02:29:00,90.0
evt_03504,0xAlpha,Glint,2025-07-02 02:36:00,420.0
evt_03515,0xAlpha,Zync,2025-07-02 02:38:45,165.0
evt_03516,0xAlpha,Glint,2025-07-02 02:39:00,15.0
evt_03536,0xAlpha,Yank,2025-07-02 02:44:00,300.0
evt_03542,0xAlpha,Depos-X,2025-07-02 02:45:30,90.0
evt_03546,0xAlpha,Minty,2025-07-02 02:46:30,60.0
evt_03559,0xAlpha,Minty,2025-07-02 02:49:45,195.0
evt_03578,0xAlpha,Flux,2025-07-02 02:54:30,285.0
evt_03676,0xAlpha,Depos-X,2025-07-02 03:19:00,1470.0
evt_03724,0xAlpha,Minty,2025-07-02 03:31:00,720.0
evt_03735,0xAlpha,Depos-X,2025-07-02 03:33:45,165.0
evt_03755,0xAlpha,Minty,2025-07-02 03:38:45,300.0
evt_03782,0xAlpha,Flux,2025-07-02 03:45:30,405.0
evt_03788,0xAlpha,Depos-X,2025-07-02 03:47:00,90.0
evt_03795,0xAlpha,Withdr-O,2025-07-02 03:48:45,105.0
evt_03796,0xAlpha,Withdr-O,2025-07-02 03:49:00,15.0
evt_03800,0xAlpha,Withdr-O,2025-07-02 03:50:00,60.0
evt_03803,0xAlpha,Minty,2025-07-02 03:50:45,45.0
evt_03819,0xAlpha,Yank,2025-07-02 03:54:45,240.0
evt_03828,0xAlpha,Zync,2025-07-02 03:57:00,135.0
evt_03855,0xAlpha,Zync,2025-07-02 04:03:45,405.0
evt_03863,0xAlpha,Depos-X,2025-07-02 04:05:45,120.0
evt_03871,0xAlpha,Glint,2025-07-02 04:07:45,120.0
evt_03876,0xAlpha,Flux,2025-07-02 04:09:00,75.0
evt_03903,0xAlpha,Flux,2025-07-02 04:15:45,405.0
evt_03936,0xAlpha,Yank,2025-07-02 04:24:00,495.0
evt_03948,0xAlpha,Withdr-O,2025-07-02 04:27:00,180.0
evt_03954,0xAlpha,Glint,2025-07-02 04:28:30,90.0
evt_03962,0xAlpha,Yank,2025-07-02 04:30:30,120.0
evt_03965,0xAlpha,Depos-X,2025-07-02 04:31:15,45.0
evt_03973,0xAlpha,Minty,2025-07-02 04:33:15,120.0
evt_03985,0xAlpha,Glint,2025-07-02 04:36:15,180.0
evt_03992,0xAlpha,Flux,2025-07-02 04:38:00,105.0
evt_04107,0xAlpha,Minty,2025-07-02 05:06:45,1725.0
evt_04110,0xAlpha,Flux,2025-07-02 05:07:30,45.0
evt_04126,0xAlpha,Yank,2025-07-02 05:11:30,240.0
evt_04127,0xAlpha,Depos-X,2025-07-02 05:11:45,15.0
evt_04148,0xAlpha,Minty,2025-07-02 05:17:00,315.0
evt_04171,0xAlpha,Zync,2025-07-02 05:22:45,345.0
evt_04181,0xAlpha,Yank,2025-07-02 05:25:15,150.0
evt_04183,0xAlpha,Depos-X,2025-07-02 05:25:45,30.0
evt_04197,0xAlpha,Yank,2025-07-02 05:29:15,210.0
evt_04200,0xAlpha,Depos-X,2025-07-02 05:30:00,45.0
evt_04250,0xAlpha,Withdr-O,2025-07-02 05:42:30,750.0
evt_04253,0xAlpha,Withdr-O,2025-07-02 05:43:15,45.0
evt_04256,0xAlpha,Glint,2025-07-02 05:44:00,45.0
evt_04262,0xAlpha,Flux,2025-07-02 05:45:30,90.0
evt_04280,0xAlpha,Zync,2025-07-02 05:50:00,270.0
evt_04284,0xAlpha,Withdr-O,2025-07-02 05:51:00,60.0
evt_04305,0xAlpha,Zync,2025-07-02 05:56:15,315.0
evt_04309,0xAlpha,Zync,2025-07-02 05:57:15,60.0
evt_04321,0xAlpha,Zync,2025-07-02 06:00:15,180.0
evt_04322,0xAlpha,Flux,2025-07-02 06:00:30,15.0
evt_04345,0xAlpha,Flux,2025-07-02 06:06:15,345.0
evt_04386,0xAlpha,Minty,2025-07-02 06:16:30,615.0
evt_04425,0xAlpha,Withdr-O,2025-07-02 06:26:15,585.0
evt_04433,0xAlpha,Withdr-O,2025-07-02 06:28:15,120.0
evt_04434,0xAlpha,Zync,2025-07-02 06:28:30,15.0
evt_04435,0xAlpha,Depos-X,2025-07-02 06:28:45,15.0
evt_04443,0xAlpha,Flux,2025-07-02 06:30:45,120.0
evt_04465,0xAlpha,Withdr-O,2025-07-02 06:36:15,330.0
evt_04470,0xAlpha,Flux,2025-07-02 06:37:30,75.0
evt_04489,0xAlpha,Zync,2025-07-02 06:42:15,285.0
evt_04490,0xAlpha,Glint,2025-07-02 06:42:30,15.0
evt_04494,0xAlpha,Minty,2025-07-02 06:43:30,60.0
evt_04498,0xAlpha,Depos-X,2025-07-02 06:44:30,60.0
evt_04510,0xAlpha,Depos-X,2025-07-02 06:47:30,180.0
evt_04547,0xAlpha,Flux,2025-07-02 06:56:45,555.0
evt_04552,0xAlpha,Flux,2025-07-02 06:58:00,75.0
evt_04564,0xAlpha,Flux,2025-07-02 07:01:00,180.0
evt_04604,0xAlpha,Minty,2025-07-02 07:11:00,600.0
evt_04609,0xAlpha,Glint,2025-07-02 07:12:15,75.0
evt_04622,0xAlpha,Flux,2025-07-02 07:15:30,195.0
evt_04628,0xAlpha,Zync,2025-07-02 07:17:00,90.0
evt_04632,0xAlpha,Zync,2025-07-02 07:18:00,60.0
evt_04649,0xAlpha,Minty,2025-07-02 07:22:15,255.0
evt_04662,0xAlpha,Minty,2025-07-02 07:25:30,195.0
evt_04686,0xAlpha,Depos-X,2025-07-02 07:31:30,360.0
evt_04697,0xAlpha,Yank,2025-07-02 07:34:15,165.0
evt_04705,0xAlpha,Yank,2025-07-02 07:36:15,120.0
evt_04724,0xAlpha,Minty,2025-07-02 07:41:00,285.0
evt_04726,0xAlpha,Depos-X,2025-07-02 07:41:30,30.0
evt_04732,0xAlpha,Withdr-O,2025-07-02 07:43:00,90.0
evt_04745,0xAlpha,Glint,2025-07-02 07:46:15,195.0
evt_04755,0xAlpha,Yank,2025-07-02 07:48:45,150.0
evt_04773,0xAlpha,Flux,2025-07-02 07:53:15,270.0
evt_04811,0xAlpha,Depos-X,2025-07-02 08:02:45,570.0
evt_04820,0xAlpha,Zync,2025-07-02 08:05:00,135.0
evt_04856,0xAlpha,Glint,2025-07-02 08:14:00,540.0
evt_04857,0xAlpha,Glint,2025-07-02 08:14:15,15.0
evt_04879,0xAlpha,Withdr-O,2025-07-02 08:19:45,330.0
evt_04887,0xAlpha,Minty,2025-07-02 08:21:45,120.0
evt_04925,0xAlpha,Zync,2025-07-02 08:31:15,570.0
evt_04932,0xAlpha,Flux,2025-07-02 08:33:00,105.0
evt_04959,0xAlpha,Zync,2025-07-02 08:39:45,405.0
evt_04967,0xAlpha,Yank,2025-07-02 08:41:45,120.0
evt_04972,0xAlpha,Zync,2025-07-02 08:43:00,75.0
evt_04979,0xAlpha,Yank,2025-07-02 08:44:45,105.0
evt_05000,0xAlpha,Depos-X,2025-07-02 08:44:45,0.0
evt_04994,0xAlpha,Zync,2025-07-02 08:48:30,225.0
evt_05031,0xAlpha,Minty,2025-07-02 08:57:45,555.0
evt_05049,0xAlpha,Zync,2025-07-02 09:02:15,270.0
evt_05061,0xAlpha,Zync,2025-07-02 09:05:15,180.0
evt_05073,0xAlpha,Depos-X,2025-07-02 09:08:15,180.0
evt_05081,0xAlpha,Zync,2025-07-02 09:10:15,120.0
evt_05090,0xAlpha,Flux,2025-07-02 09:12:30,135.0
evt_05108,0xAlpha,Minty,2025-07-02 09:17:00,270.0
evt_05121,0xAlpha,Minty,2025-07-02 09:20:15,195.0
evt_05131,0xAlpha,Zync,2025-07-02 09:22:45,150.0
evt_05146,0xAlpha,Withdr-O,2025-07-02 09:26:30,225.0
evt_05174,0xAlpha,Glint,2025-07-02 09:33:30,420.0
evt_05220,0xAlpha,Yank,2025-07-02 09:45:00,690.0
evt_05223,0xAlpha,Flux,2025-07-02 09:45:45,45.0
evt_05230,0xAlpha,Flux,2025-07-02 09:47:30,105.0
evt_05241,0xAlpha,Flux,2025-07-02 09:50:15,165.0
evt_05249,0xAlpha,Depos-X,2025-07-02 09:52:15,120.0
evt_05256,0xAlpha,Flux,2025-07-02 09:54:00,105.0
evt_05288,0xAlpha,Flux,2025-07-02 10:02:00,480.0
evt_05292,0xAlpha,Flux,2025-07-02 10:03:00,60.0
evt_05310,0xAlpha,Flux,2025-07-02 10:07:30,270.0
evt_05354,0xAlpha,Yank,2025-07-02 10:18:30,660.0
evt_05358,0xAlpha,Yank,2025-07-02 10:19:30,60.0
evt_05363,0xAlpha,Yank,2025-07-02 10:20:45,75.0
evt_05369,0xAlpha,Depos-X,2025-07-02 10:22:15,90.0
evt_05398,0xAlpha,Depos-X,2025-07-02 10:29:30,435.0
evt_05403,0xAlpha,Glint,2025-07-02 10:30:45,75.0
evt_05408,0xAlpha,Yank,2025-07-02 10:32:00,75.0
evt_05415,0xAlpha,Depos-X,2025-07-02 10:33:45,105.0
evt_05423,0xAlpha,Zync,2025-07-02 10:35:45,120.0
evt_05431,0xAlpha,Glint,2025-07-02 10:37:45,120.0
evt_05438,0xAlpha,Depos-X,2025-07-02 10:39:30,105.0
evt_05443,0xAlpha,Flux,2025-07-02 10:40:45,75.0
evt_05455,0xAlpha,Yank,2025-07-02 10:43:45,180.0
evt_05490,0xAlpha,Glint,2025-07-02 10:52:30,525.0
evt_05495,0xAlpha,Glint,2025-07-02 10:53:45,75.0
evt_05509,0xAlpha,Glint,2025-07-02 10:57:15,210.0
evt_05530,0xAlpha,Minty,2025-07-02 11:02:30,315.0
evt_05537,0xAlpha,Glint,2025-07-02 11:04:15,105.0
evt_05553,0xAlpha,Minty,2025-07-02 11:08:15,240.0
evt_05556,0xAlpha,Depos-X,2025-07-02 11:09:00,45.0
evt_05557,0xAlpha,Withdr-O,2025-07-02 11:09:15,15.0
evt_05558,0xAlpha,Minty,2025-07-02 11:09:30,15.0
evt_05576,0xAlpha,Flux,2025-07-02 11:14:00,270.0
evt_05580,0xAlpha,Flux,2025-07-02 11:15:00,60.0
evt_05583,0xAlpha,Yank,2025-07-02 11:15:45,45.0
evt_05589,0xAlpha,Withdr-O,2025-07-02 11:17:15,90.0
evt_05602,0xAlpha,Flux,2025-07-02 11:20:30,195.0
evt_05670,0xAlpha,Yank,2025-07-02 11:37:30,1020.0
evt_05706,0xAlpha,Depos-X,2025-07-02 11:46:30,540.0
evt_05709,0xAlpha,Flux,2025-07-02 11:47:15,45.0
evt_05719,0xAlpha,Minty,2025-07-02 11:49:45,150.0
evt_05731,0xAlpha,Glint,2025-07-02 11:52:45,180.0
evt_05749,0xAlpha,Withdr-O,2025-07-02 11:57:15,270.0
evt_05759,0xAlpha,Minty,2025-07-02 11:59:45,150.0
evt_05807,0xAlpha,Withdr-O,2025-07-02 12:11:45,720.0
evt_05808,0xAlpha,Glint,2025-07-02 12:12:00,15.0
evt_05869,0xAlpha,Zync,2025-07-02 12:27:15,915.0
evt_05889,0xAlpha,Withdr-O,2025-07-02 12:32:15,300.0
evt_05896,0xAlpha,Depos-X,2025-07-02 12:34:00,105.0
evt_05910,0xAlpha,Flux,2025-07-02 12:37:30,210.0
evt_05938,0xAlpha,Zync,2025-07-02 12:44:30,420.0
evt_05942,0xAlpha,Withdr-O,2025-07-02 12:45:30,60.0
evt_05983,0xAlpha,Yank,2025-07-02 12:55:45,615.0
